PUBLICATION DATE,FISCAL YEAR,MONTH,INFLOWS/OUTFLOWS,DESCRIPTION,AMOUNT,publication date,fiscal year,month,inflows/outflows,description,amount
20201020.0,2021.0,December,Inflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,December,Inflows - Prior,Federal Categorical Grants,232.0,,,,,,
20201020.0,2021.0,December,Inflows - Prior,State Categorical Grants,258.0,,,,,,
20201020.0,2021.0,December,Inflows - Prior,Other Categorical Grants,2.0,,,,,,
20201020.0,2021.0,December,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0,,,,,,
20201020.0,2021.0,December,Inflows - Prior,Misc. Revenue/IFA,0.0,,,,,,
20201020.0,2021.0,December,Inflows - Capital,Capital Transfers,633.0,,,,,,
20201020.0,2021.0,December,Inflows - Capital,Federal And State,79.0,,,,,,
20201020.0,2021.0,December,Inflows - Other,Senior Colleges,0.0,,,,,,
20201020.0,2021.0,December,Inflows - Other,Holding Acct. & Other Adj.,0.0,,,,,,
20201020.0,2021.0,December,Inflows - Other,Other Sources,0.0,,,,,,
20201020.0,2021.0,December,Outflows - Current,Personal Service,3686.0,,,,,,
20201020.0,2021.0,December,Outflows - Current,Other Than Personal Service,2735.0,,,,,,
20201020.0,2021.0,December,Outflows - Current,Debt Service,7.0,,,,,,
20201020.0,2021.0,December,Outflows - Prior,Personal Service,33.0,,,,,,
20201020.0,2021.0,December,Outflows - Prior,Other Than Personal Service,544.0,,,,,,
20201020.0,2021.0,December,Outflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,December,Outflows - Prior,Disallowance Reserve,0.0,,,,,,
20201020.0,2021.0,December,Outflows - Capital,City Disbursements,809.0,,,,,,
20201020.0,2021.0,December,Outflows - Capital,Federal and State,124.0,,,,,,
20201020.0,2021.0,December,Outflows - Other,Senior Colleges,238.0,,,,,,
20201020.0,2021.0,December,Outflows - Other,Other Uses,0.0,,,,,,
20201020.0,2021.0,December,Balance,Beginning Balance,1931.0,,,,,,
20201020.0,2021.0,December,Balance,Ending Balance,6346.0,,,,,,
20201020.0,2021.0,January,Inflows - Current,General Property Tax,5638.0,,,,,,
20201020.0,2021.0,January,Inflows - Current,Other Taxes,3036.0,,,,,,
20201020.0,2021.0,January,Inflows - Current,Federal Categorical Grants,483.0,,,,,,
20201020.0,2021.0,January,Inflows - Current,State Categorical Grants,190.0,,,,,,
20201020.0,2021.0,January,Inflows - Current,Other Categorical Grants,106.0,,,,,,
20201020.0,2021.0,January,Inflows - Current,Unrestricted (Net Of Disall.),0.0,,,,,,
20201020.0,2021.0,January,Inflows - Current,Miscellaneous Revenues,535.0,,,,,,
20201020.0,2021.0,January,Inflows - Current,Inter-Fund Revenues,125.0,,,,,,
20201020.0,2021.0,January,Inflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,January,Inflows - Prior,Federal Categorical Grants,220.0,,,,,,
20201020.0,2021.0,January,Inflows - Prior,State Categorical Grants,190.0,,,,,,
20201020.0,2021.0,January,Inflows - Prior,Other Categorical Grants,30.0,,,,,,
20201020.0,2021.0,January,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0,,,,,,
20201020.0,2021.0,January,Inflows - Prior,Misc. Revenue/IFA,0.0,,,,,,
20201020.0,2021.0,January,Inflows - Capital,Capital Transfers,871.0,,,,,,
20201020.0,2021.0,January,Inflows - Capital,Federal And State,80.0,,,,,,
20201020.0,2021.0,January,Inflows - Other,Senior Colleges,260.0,,,,,,
20201020.0,2021.0,January,Inflows - Other,Holding Acct. & Other Adj.,0.0,,,,,,
20201020.0,2021.0,January,Inflows - Other,Other Sources,0.0,,,,,,
20201020.0,2021.0,January,Outflows - Current,Personal Service,3878.0,,,,,,
20201020.0,2021.0,January,Outflows - Current,Other Than Personal Service,2770.0,,,,,,
20201020.0,2021.0,January,Outflows - Current,Debt Service,850.0,,,,,,
20201020.0,2021.0,January,Outflows - Prior,Personal Service,32.0,,,,,,
20201020.0,2021.0,January,Outflows - Prior,Other Than Personal Service,612.0,,,,,,
20201020.0,2021.0,January,Outflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,January,Outflows - Prior,Disallowance Reserve,0.0,,,,,,
20201020.0,2021.0,January,Outflows - Capital,City Disbursements,911.0,,,,,,
20201020.0,2021.0,January,Outflows - Capital,Federal and State,129.0,,,,,,
20201020.0,2021.0,January,Outflows - Other,Senior Colleges,238.0,,,,,,
20201020.0,2021.0,January,Outflows - Other,Other Uses,0.0,,,,,,
20201020.0,2021.0,January,Balance,Beginning Balance,6346.0,,,,,,
20201020.0,2021.0,January,Balance,Ending Balance,8690.0,,,,,,
20201020.0,2021.0,February,Inflows - Current,General Property Tax,122.0,,,,,,
20201020.0,2021.0,February,Inflows - Current,Other Taxes,1626.0,,,,,,
20201020.0,2021.0,February,Inflows - Current,Federal Categorical Grants,417.0,,,,,,
20201020.0,2021.0,February,Inflows - Current,State Categorical Grants,225.0,,,,,,
20201020.0,2021.0,February,Inflows - Current,Other Categorical Grants,16.0,,,,,,
20201020.0,2021.0,February,Inflows - Current,Unrestricted (Net Of Disall.),0.0,,,,,,
20201020.0,2021.0,February,Inflows - Current,Miscellaneous Revenues,238.0,,,,,,
20201020.0,2021.0,February,Inflows - Current,Inter-Fund Revenues,42.0,,,,,,
20201020.0,2021.0,February,Inflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,February,Inflows - Prior,Federal Categorical Grants,206.0,,,,,,
20201020.0,2021.0,February,Inflows - Prior,State Categorical Grants,220.0,,,,,,
20201020.0,2021.0,February,Inflows - Prior,Other Categorical Grants,30.0,,,,,,
20201020.0,2021.0,February,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0,,,,,,
20201020.0,2021.0,February,Inflows - Prior,Misc. Revenue/IFA,0.0,,,,,,
20201020.0,2021.0,February,Inflows - Capital,Capital Transfers,686.0,,,,,,
20201020.0,2021.0,February,Inflows - Capital,Federal And State,71.0,,,,,,
20201020.0,2021.0,February,Inflows - Other,Senior Colleges,0.0,,,,,,
20201020.0,2021.0,February,Inflows - Other,Holding Acct. & Other Adj.,0.0,,,,,,
20201020.0,2021.0,February,Inflows - Other,Other Sources,0.0,,,,,,
20201020.0,2021.0,February,Outflows - Current,Personal Service,3752.0,,,,,,
20201020.0,2021.0,February,Outflows - Current,Other Than Personal Service,2765.0,,,,,,
20201020.0,2021.0,February,Outflows - Current,Debt Service,86.0,,,,,,
20201020.0,2021.0,February,Outflows - Prior,Personal Service,24.0,,,,,,
20201020.0,2021.0,February,Outflows - Prior,Other Than Personal Service,88.0,,,,,,
20201020.0,2021.0,February,Outflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,February,Outflows - Prior,Disallowance Reserve,0.0,,,,,,
20201020.0,2021.0,February,Outflows - Capital,City Disbursements,655.0,,,,,,
20201020.0,2021.0,February,Outflows - Capital,Federal and State,124.0,,,,,,
20201020.0,2021.0,February,Outflows - Other,Senior Colleges,238.0,,,,,,
20201020.0,2021.0,February,Outflows - Other,Other Uses,0.0,,,,,,
20201020.0,2021.0,February,Balance,Beginning Balance,8690.0,,,,,,
20201020.0,2021.0,February,Balance,Ending Balance,4857.0,,,,,,
20201020.0,2021.0,March,Inflows - Current,General Property Tax,1255.0,,,,,,
20201020.0,2021.0,March,Inflows - Current,Other Taxes,2802.0,,,,,,
20201020.0,2021.0,March,Inflows - Current,Federal Categorical Grants,514.0,,,,,,
20201020.0,2021.0,March,Inflows - Current,State Categorical Grants,3922.0,,,,,,
20201020.0,2021.0,March,Inflows - Current,Other Categorical Grants,20.0,,,,,,
20201020.0,2021.0,March,Inflows - Current,Unrestricted (Net Of Disall.),0.0,,,,,,
20201020.0,2021.0,March,Inflows - Current,Miscellaneous Revenues,351.0,,,,,,
20201020.0,2021.0,March,Inflows - Current,Inter-Fund Revenues,70.0,,,,,,
20201020.0,2021.0,March,Inflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,March,Inflows - Prior,Federal Categorical Grants,135.0,,,,,,
20201020.0,2021.0,March,Inflows - Prior,State Categorical Grants,180.0,,,,,,
20201020.0,2021.0,March,Inflows - Prior,Other Categorical Grants,24.0,,,,,,
20201020.0,2021.0,March,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0,,,,,,
20201020.0,2021.0,March,Inflows - Prior,Misc. Revenue/IFA,0.0,,,,,,
20201020.0,2021.0,March,Inflows - Capital,Capital Transfers,739.0,,,,,,
20201020.0,2021.0,March,Inflows - Capital,Federal And State,133.0,,,,,,
20201020.0,2021.0,March,Inflows - Other,Senior Colleges,260.0,,,,,,
20201020.0,2021.0,March,Inflows - Other,Holding Acct. & Other Adj.,0.0,,,,,,
20201020.0,2021.0,March,Inflows - Other,Other Sources,0.0,,,,,,
20201020.0,2021.0,March,Outflows - Current,Personal Service,3673.0,,,,,,
20201020.0,2021.0,March,Outflows - Current,Other Than Personal Service,2703.0,,,,,,
20201020.0,2021.0,March,Outflows - Current,Debt Service,132.0,,,,,,
20201020.0,2021.0,March,Outflows - Prior,Personal Service,25.0,,,,,,
20201020.0,2021.0,March,Outflows - Prior,Other Than Personal Service,136.0,,,,,,
20201020.0,2021.0,March,Outflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,March,Outflows - Prior,Disallowance Reserve,0.0,,,,,,
20201020.0,2021.0,March,Outflows - Capital,City Disbursements,672.0,,,,,,
20201020.0,2021.0,March,Outflows - Capital,Federal and State,82.0,,,,,,
20201020.0,2021.0,March,Outflows - Other,Senior Colleges,238.0,,,,,,
20201020.0,2021.0,March,Outflows - Other,Other Uses,0.0,,,,,,
20201020.0,2021.0,March,Balance,Beginning Balance,4857.0,,,,,,
20201020.0,2021.0,March,Balance,Ending Balance,7601.0,,,,,,
20201020.0,2021.0,April,Inflows - Current,General Property Tax,580.0,,,,,,
20201020.0,2021.0,April,Inflows - Current,Other Taxes,3198.0,,,,,,
20201020.0,2021.0,April,Inflows - Current,Federal Categorical Grants,509.0,,,,,,
20201020.0,2021.0,April,Inflows - Current,State Categorical Grants,619.0,,,,,,
20201020.0,2021.0,April,Inflows - Current,Other Categorical Grants,106.0,,,,,,
20201020.0,2021.0,April,Inflows - Current,Unrestricted (Net Of Disall.),0.0,,,,,,
20201020.0,2021.0,April,Inflows - Current,Miscellaneous Revenues,276.0,,,,,,
20201020.0,2021.0,April,Inflows - Current,Inter-Fund Revenues,112.0,,,,,,
20201020.0,2021.0,April,Inflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,April,Inflows - Prior,Federal Categorical Grants,370.0,,,,,,
20201020.0,2021.0,April,Inflows - Prior,State Categorical Grants,127.0,,,,,,
20201020.0,2021.0,April,Inflows - Prior,Other Categorical Grants,1.0,,,,,,
20201020.0,2021.0,April,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0,,,,,,
20201020.0,2021.0,April,Inflows - Prior,Misc. Revenue/IFA,0.0,,,,,,
20201020.0,2021.0,April,Inflows - Capital,Capital Transfers,811.0,,,,,,
20201020.0,2021.0,April,Inflows - Capital,Federal And State,71.0,,,,,,
20201020.0,2021.0,April,Inflows - Other,Senior Colleges,0.0,,,,,,
20201020.0,2021.0,April,Inflows - Other,Holding Acct. & Other Adj.,0.0,,,,,,
20201020.0,2021.0,April,Inflows - Other,Other Sources,0.0,,,,,,
20201020.0,2021.0,April,Outflows - Current,Personal Service,4158.0,,,,,,
20201020.0,2021.0,April,Outflows - Current,Other Than Personal Service,2785.0,,,,,,
20201020.0,2021.0,April,Outflows - Current,Debt Service,317.0,,,,,,
20201020.0,2021.0,April,Outflows - Prior,Personal Service,67.0,,,,,,
20201020.0,2021.0,April,Outflows - Prior,Other Than Personal Service,164.0,,,,,,
20201020.0,2021.0,April,Outflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,April,Outflows - Prior,Disallowance Reserve,0.0,,,,,,
20201020.0,2021.0,April,Outflows - Capital,City Disbursements,802.0,,,,,,
20201020.0,2021.0,April,Outflows - Capital,Federal and State,99.0,,,,,,
20201020.0,2021.0,April,Outflows - Other,Senior Colleges,238.0,,,,,,
20201020.0,2021.0,April,Outflows - Other,Other Uses,0.0,,,,,,
20201020.0,2021.0,April,Balance,Beginning Balance,7601.0,,,,,,
20201020.0,2021.0,April,Balance,Ending Balance,5751.0,,,,,,
20201020.0,2021.0,May,Inflows - Current,General Property Tax,44.0,,,,,,
20201020.0,2021.0,May,Inflows - Current,Other Taxes,1554.0,,,,,,
20201020.0,2021.0,May,Inflows - Current,Federal Categorical Grants,754.0,,,,,,
20201020.0,2021.0,May,Inflows - Current,State Categorical Grants,1913.0,,,,,,
20201020.0,2021.0,May,Inflows - Current,Other Categorical Grants,19.0,,,,,,
20201020.0,2021.0,May,Inflows - Current,Unrestricted (Net Of Disall.),0.0,,,,,,
20201020.0,2021.0,May,Inflows - Current,Miscellaneous Revenues,363.0,,,,,,
20201020.0,2021.0,May,Inflows - Current,Inter-Fund Revenues,52.0,,,,,,
20201020.0,2021.0,May,Inflows - Prior,Taxes,0.0,,,,,,
20201020.0,2021.0,May,Inflows - Prior,Federal Categorical Grants,98.0,,,,,,
20201020.0,2021.0,May,Inflows - Prior,State Categorical Grants,100.0,,,,,,
20201020.0,2021.0,May,Inflows - Prior,Other Categorical Grants,1.0,,,,,,
20201020.0,2021.0,May,Inflows - Prior,Unrestricted Intgvt.  Aid,0.0,,,,,,
20201020.0,2021.0,May,Inflows - Prior,Misc. Revenue/IFA,0.0,,,,,,
20201020.0,2021.0,May,Inflows - Capital,Capital Transfers,731.0,,,,,,
20201020.0,2021.0,May,Inflows - Capital,Federal And State,103.0,,,,,,
20201020.0,2021.0,May,Inflows - Other,Senior Colleges,0.0,,,,,,
20201020.0,2021.0,May,Inflows - Other,Holding Acct. & Other Adj.,0.0,,,,,,
20201020.0,2021.0,May,Inflows - Other,Other Sources,0.0,,,,,,
20201020.0,2021.0,May,Outflows - Current,Personal Service,3732.0,,,,,,
